Sequence_ID	Organism	specimen-voucher
M34_Mercurialis_ITScp_ITS_huiB_F	Mercurialis annua (hexaploid)	M34_Mercurialis_ITScp_ITS_huiB_F
Israel59_2xannua	Mercurialis annua (diploid)	Israel59_2xannua
Huetii_Spain6782	Mercurialis huetii (diploid)	Huetii_Spain6782
Huetii_Spain7192	Mercurialis huetii (diploid)	Huetii_Spain7192
Italy61_2xannua	Mercurialis annua (diploid)	Italy61_2xannua
Morocco1018_4x_ITS	Mercurialis annua (tetraploid)	Morocco1018_4x_ITS
Morocco1020_4x_ITS	Mercurialis annua (tetraploid)	Morocco1020_4x_ITS
Morocco1031_4x_ITS	Mercurialis annua (tetraploid)	Morocco1031_4x_ITS
Morocco58_6x_ITS	Mercurialis annua (hexaploid)	Morocco58_6x_ITS
Morocco60_6x_ITS	Mercurialis annua (hexaploid)	Morocco60_6x_ITS
nP-_2AH5_6X_hueB	Mercurialis annua (hexaploid)	nP-_2AH5_6X_hueB
nP-_2AH6_6x_hueB	Mercurialis annua (hexaploid)	nP-_2AH6_6x_hueB
nP-_2AH7_6x_hueB	Mercurialis annua (hexaploid)	nP-_2AH7_6x_hueB
nP-_2M24_6X_hueB	Mercurialis annua (hexaploid)	nP-_2M24_6X_hueB
nP-_2M28_6X_hueB	Mercurialis annua (hexaploid)	nP-_2M28_6X_hueB
nP-_2M38_6X_hueB	Mercurialis annua (hexaploid)	nP-_2M38_6X_hueB
nP-_3AH5_canA	Mercurialis annua (hexaploid)	nP-_3AH5_canA
nP-_3AH6_canA	Mercurialis annua (hexaploid)	nP-_3AH6_canA
nP-_3AH7_canA	Mercurialis annua (hexaploid)	nP-_3AH7_canA
nP-_3M24_canA	Mercurialis annua (hexaploid)	nP-_3M24_canA
nP-_3M38_canA	Mercurialis annua (hexaploid)	nP-_3M38_canA
P+_2M31_6X_hueB	Mercurialis annua (hexaploid)	P+_2M31_6X_hueB
P+_2PH1_6x_hueB	Mercurialis annua (hexaploid)	P+_2PH1_6x_hueB
P+_2PH12014_6X_hueB	Mercurialis annua (hexaploid)	P+_2PH12014_6X_hueB
P+_2PH2_6x_hueB	Mercurialis annua (hexaploid)	P+_2PH2_6x_hueB
P+_2PH22015_6X_hueB	Mercurialis annua (hexaploid)	P+_2PH22015_6X_hueB
P+_2PH3_6x_hueB	Mercurialis annua (hexaploid)	P+_2PH3_6x_hueB
P+_2PH32015_6x_hueB	Mercurialis annua (hexaploid)	P+_2PH32015_6x_hueB
P+_2PH4_6x_hueB	Mercurialis annua (hexaploid)	P+_2PH4_6x_hueB
P+_2PH8_hueB	Mercurialis annua (hexaploid)	P+_2PH8_hueB
P+_3M31_canA	Mercurialis annua (hexaploid)	P+_3M31_canA
P+_3PH1_canA	Mercurialis annua (hexaploid)	P+_3PH1_canA
P+_3PH12014_canA	Mercurialis annua (hexaploid)	P+_3PH12014_canA
P+_3PH2_canA	Mercurialis annua (hexaploid)	P+_3PH2_canA
P+_3PH22015_canA	Mercurialis annua (hexaploid)	P+_3PH22015_canA
P+_3PH3_canA	Mercurialis annua (hexaploid)	P+_3PH3_canA
P+_3PH32015_ITScanA	Mercurialis annua (hexaploid)	P+_3PH32015_ITScanA
P+_3PH4_canA	Mercurialis annua (hexaploid)	P+_3PH4_canA
P+_3PH8_canA	Mercurialis annua (hexaploid)	P+_3PH8_canA
Spain11_6x_ITS	Mercurialis annua (hexaploid)	Spain11_6x_ITS
Spain02_6x_ITS	Mercurialis annua (hexaploid)	Spain02_6x_ITS
Spain2_2x_ITS	Mercurialis annua (hexaploid)	Spain2_2x_ITS
Spain2_6x_ITS	Mercurialis annua (hexaploid)	Spain2_6x_ITS
Spain20_6x_ITS	Mercurialis annua (hexaploid)	Spain20_6x_ITS
Spain58_6x_ITS	Mercurialis annua (hexaploid)	Spain58_6x_ITS
Turkey80_2x_ITS	Mercurialis annua (diploid)	Turkey80_2x_ITS
perennis1_ITS	Mercurialis perennis (diploid)	perennis1_ITS
perennis2_ITS	Mercurialis perennis (diploid)	perennis2_ITS
Tenerife200_4x_canB	Mercurialis canariensis (tetraploid)	Tenerife200_4x_canB
Tenerife209_4x_canB	Mercurialis canariensis (tetraploid)	Tenerife209_4x_canB
Tenerifer91_4x_canB	Mercurialis canariensis (tetraploid)	Tenerifer91_4x_canB
elliptic1_ITS	Mercurialis elliptic (diploid)	elliptic1_ITS
elliptic2_ITS	Mercurialis elliptic (diploid)	elliptic2_ITS
reverchonii2_ITS	Mercurialis reverchonii (diploid)	reverchonii2_ITS
reverchonii1_ITS	Mercurialis reverchonii (diploid)	reverchonii1_ITS
tomentosa2_ITS	Solanum lycopersicum (diploid)	tomentosa2_ITS
tomentosa1_ITS	Solanum lycopersicum (diploid)	tomentosa1_ITS
Tenerife91_4x_ITScanA	Mercurialis annua (tetraploid)	Tenerife91_4x_ITScanA
Tenerife209_4X_ITScanA	Mercurialis annua (tetraploid)	Tenerife209_4X_ITScanA
Tenerife200_4X_ITScanA	Mercurialis annua (tetraploid)	Tenerife200_4X_ITScanA
communis2_ITS	Mercurialis communis (diploid)	communis2_ITS
communis1_ITS	Mercurialis communis (diploid)	communis1_ITS
M34_Mercurialis_ITScp_ITS_canA_F	Mercurialis annua (hexaploid)	M34_Mercurialis_ITScp_ITS_canA_F
M28_Mercurialis_ITScp_ITS_canA_F	Mercurialis annua (hexaploid)	M28_Mercurialis_ITScp_ITS_canA_F
M30_Mercurialis_ITScp_ITS_canA_F	Mercurialis annua (hexaploid)	M30_Mercurialis_ITScp_ITS_canA_F
