ID;morph;pop;fam;block;pollen;seed;seedn;biom;avgseedw;pollalloc;seedallo;sexallo
118;PH;PH1_2015;no fam;6;129.08;209.87;79;3.032;2.657;42.57;69.22;0.3808
53;PH;PH2_2015;no fam;3;123.38;310.24;177;4.572;1.753;26.99;67.86;0.2845
81;AH;M28;6;4;91.85;320.66;147;4.773;2.181;19.24;67.18;0.2227
36;PH;PH3;15;2;129.72;251.6;98;3.746;2.567;34.63;67.16;0.3402
42;AH;AH7;3;2;81.69;226.92;92;3.403;2.467;24.01;66.68;0.2647
23;PH;PH4;19;2;277.75;248.69;97;3.78;2.564;73.48;65.79;0.5276
223;PH;PH3;25;11;114.44;209.82;79;3.19;2.656;35.87;65.77;0.3529
210;PH;PH3_2015;no fam;10;;259.52;102;3.976;2.544;0;65.27;0
113;AH;AH7;10;6;186.54;207.93;93;3.273;2.236;56.99;63.53;0.4729
77;PH;PH3_2015;no fam;4;129.34;190.26;78;3.077;2.439;42.03;61.83;0.4047
176;PH;PH1;23;9;155.03;193.04;71;3.19;2.719;48.6;60.51;0.4454
173;AH;AH5;21;9;210.35;285.15;127;4.763;2.245;44.16;59.87;0.4245
196;PH;PH4;12;10;;230.28;75;4.019;3.07;0;57.3;0
202;PH;PH4_2015;no fam;10;178.37;273.51;94;4.803;2.91;37.14;56.95;0.3947
197;AH;M38;no fam;10;;170.71;76;3.012;2.246;0;56.68;0
75;AH;M27;no fam;4;136.19;164;70;2.921;2.343;46.62;56.15;0.4537
227;PH;PH2;31;11;60.94;250.58;89;4.464;2.816;13.65;56.13;0.1956
19;AH;M28;30;1;51.5;85.79;32;1.585;2.681;32.49;54.13;0.3751
216;PH;PH8;12;11;246.2;227.72;89;4.27;2.559;57.66;53.33;0.5195
214;PH;PH4;19;11;266.6;180.83;69;3.395;2.621;78.53;53.26;0.5958
25;PH;PH2;16;2;209.96;158.79;69;3.077;2.301;68.24;51.61;0.5694
87;AH;AH5;33;5;198.36;207.77;108;4.158;1.924;47.71;49.97;0.4884
206;PH;PH3;15;10;77.84;174.52;64;3.498;2.727;22.25;49.89;0.3084
134;PH;PH3;41;7;238.88;174.57;66;3.51;2.645;68.06;49.74;0.5778
198;PH;PH2;26;10;;132.59;44;2.711;3.013;0;48.91;0
174;PH;PH1_2014;no fam;9;186.8;155.25;57;3.353;2.724;55.71;46.3;0.5461
177;PH;PH4;6;9;151.79;134.61;42;2.973;3.205;51.06;45.28;0.53
120;PH;PH3_2015;no fam;6;121.55;151.05;61;3.363;2.476;36.14;44.92;0.4459
213;PH;M31;no fam;11;267.62;149.28;43;3.432;3.472;77.98;43.5;0.6419
70;AH;M38;no fam;4;187.56;226.66;90;5.4;2.518;34.73;41.97;0.4528
124;AH;M28;27;6;76.12;80.72;30;1.975;2.691;38.54;40.87;0.4853
201;AH;M34;no fam;10;187.64;175.69;89;4.389;1.974;42.75;40.03;0.5164
130;PH;PH1;21;7;348.59;126.29;39;3.268;3.238;106.67;38.64;0.7341
80;PH;PH2;31;4;103.55;66.27;22;1.762;3.012;58.77;37.61;0.6098
129;PH;PH1_2015;no fam;7;;111.31;55;2.993;2.024;0;37.19;0
39;PH;PH1;12;2;97.01;132.33;46;3.598;2.877;26.96;36.78;0.423
9;PH;PH1_2015;no fam;1;177.17;117.41;67;3.206;1.752;55.26;36.62;0.6014
46;PH;PH4;7;3;284.93;119.51;43;3.371;2.779;84.52;35.45;0.7045
212;PH;PH1;5;11;339.99;151.65;56;4.333;2.708;78.47;35;0.6915
99;PH;PH2;40;5;76.75;85.36;33;2.551;2.587;30.09;33.46;0.4734
103;PH;PH4;9;5;64.41;82.64;33;2.508;2.504;25.68;32.95;0.438
54;PH;PH1;5;3;115.84;96.9;40;3.153;2.423;36.74;30.73;0.5445
106;PH;M31;no fam;6;412.82;84.07;28;2.861;3.003;144.29;29.38;0.8308
149;PH;M31;no fam;8;448.45;83.35;25;2.898;3.334;154.74;28.76;0.8433
115;PH;PH3;30;6;174.86;83.52;36;3.046;2.32;57.41;27.42;0.6768
170;PH;PH1_2015;no fam;9;279.85;144.88;72;5.481;2.012;51.06;26.43;0.6589
154;PH;PH3;37;8;172.35;84.2;34;3.212;2.476;53.66;26.21;0.6718
45;PH;PH3;25;3;302.4;91.27;39;3.55;2.34;85.18;25.71;0.7682
171;PH;PH2_2015;no fam;9;242.24;145.44;76;5.672;1.914;42.71;25.64;0.6248
1;PH;PH4;12;1;453.64;76.05;33;3.08;2.305;147.29;24.69;0.8564
66;PH;PH4;6;4;382.34;86.44;40;3.866;2.161;98.9;22.36;0.8156
183;PH;PH4_2015;no fam;9;78.51;66.46;28;3.677;2.374;21.35;18.07;0.5416
68;PH;M31;no fam;4;308.58;50.39;18;3.175;2.799;97.19;15.87;0.8596
131;PH;M31;no fam;7;281.23;26.4;9;2.454;2.933;114.6;10.76;0.9142
199;PH;PH1_2015;no fam;10;;37.5;16;3.695;2.344;0;10.15;0
108;PH;PH1;14;6;303.59;34.87;16;3.776;2.179;80.4;9.23;0.897
109;PH;PH2_2015;no fam;6;217.79;15.61;8;2.71;1.951;80.37;5.76;0.9331
150;PH;PH1;10;8;268.49;8.91;2;3.266;4.455;82.21;2.73;0.9679
107;PH;PH4;12;6;378.52;7.1;2;3.595;3.55;105.29;1.97;0.9816
200;PH;PH1;12;10;313.39;5.87;3;4.299;1.957;72.9;1.37;0.9816
22;PH;PH2_2015;no fam;2;456.7;0;0;2.563;;178.19;0;1
172;PH;PH8;23;9;232.26;307.82;122;;2.523;;;0.43
47;PH;PH8;12;3;196.32;358.16;150;;2.388;;;0.3541
8;AH;AH5;21;1;180.86;529.93;224;;2.366;;;0.2544
143;PH;PH2;17;7;60.83;;;;;;;
236;PH;PH4_2015;no fam;;234.63;;;;;;;
