Morph,Name_publication,Latitude,Longtitude
P+,P+_SJV,37.800519,-0.834162
P+,P+_OLI,38.917234,-0.105597
P+,P+_VAC,39.91089,-0.113915
P+,P+_VTE,39.942932,-0.11735
P+,P+_VBL,39.956373,-0.165365
P+,P+_ORI,39.987926,-0.219629
P+,P+_BAN,36.741213,-3.298409
P+,P+_MAM,36.751714,-3.266077
P+,P+_FON,38.414006,-0.404624
P+,P+_BND,38.550653,-0.120609
P+,P+_MCR,40.029297,-0.146564
P+,P+_CES,40.049767,-0.19945
P+,P+_BEN,40.417236,0.415914
P+,P+_VIN,40.487106,0.477918
P+,P+_BNC3,40.417236,0.415914
P-,P-_NRJ,36.74485,-3.903466
P-,P-_AGU,36.817698,-2.554158
P-,P-_ALM,36.841772,-2.430843
P-,P-_HOR,37.890775,-0.764079
P-,P-_MON,39.81631,-0.164176
P-,P-_OMO,38.9023861,-0.0870041
P-,P-_SAG,39.6962234,-0.2769175
P-,P-_TOT,39.743872,-0.3563934
P-,P-_BNS,40.020433,-0.001215
P-,P-_AMP,40.70463,0.6264
P-,P-_GAU,36.52402,-5.31106
P-,P-_GET,36.1011,-5.44858
P-,P-_DAI,38.966714,-0.1545
