scanned sheet;ID;plant;position;morph;genotype;Fam;Rep;petioleLength;bladeLength;bladeWidth;bladeArea;bladePerimeter;bladeCircularity;perimeter_area;blade_petiole
14;160;3;7;P-;M24;9;4;65.3;628.9;441.0;217824;2640;0.393;0.012119877;9.627301811
14;161;3;8;P-;M24;9;4;78.6;564.6;372.8;165283;2392;0.363;0.014472148;7.184644557
14;162;3;9;P-;M24;9;4;67.8;505.2;281.4;111650;2016;0.345;0.018056426;7.448451252
11;122;2;5;P+;PH8;9;4;156.4;524.8;399.0;164466;2460;0.342;0.014957499;3.356375869
11;121;2;4;P+;PH8;9;4;159.8;524.9;385.0;158719;2378;0.353;0.014982453;3.284124323
11;123;2;6;P+;PH8;9;4;138.6;514.7;340.7;137737;2248;0.343;0.01632096;3.714445511
26;300;2;6;P+;PH4;9;5;229.3;697.0;487.2;266718;3184;0.331;0.011937702;3.040186341
26;298;2;4;P+;PH4;9;5;278.5;619.0;459.0;223158;2700;0.385;0.012099051;2.222770393
26;299;2;5;P+;PH4;9;5;260.5;408.8;395.5;126963;2048;0.38;0.016130684;1.569045398
31;358;2;4;P+;PH2;9;6;241.6;538.4;377.5;159629;2436;0.338;0.015260385;2.228832327
31;359;2;5;P+;PH2;9;6;182.1;550.3;338.9;146468;2368;0.328;0.016167354;3.021319819
31;360;2;6;P+;PH2;9;6;133.4;475.5;329.7;123111;2290;0.295;0.0186011;3.563187122
54;610;1;1;P-;M24;9;11;218.6;608.9;425.7;203585;2710;0.348;0.013311393;2.785023945
54;611;1;2;P-;M24;9;11;226.3;647.3;341.6;173689;2772;0.284;0.01595956;2.860645486
54;612;1;3;P-;M24;9;11;168.0;561.8;302.9;133644;2524;0.264;0.018885996;3.344457674
8;82;1;1;P-;M28;10;2;249.3;688.6;413.2;223452;2716;0.381;0.012154736;2.762297121
8;83;1;2;P-;M28;10;2;256.6;345.2;320.4;86860;1572;0.442;0.018098089;1.345514924
8;84;1;3;P-;M28;10;2;170.9;351.6;275.9;76191;1442;0.46;0.01892612;2.056996274
31;364;4;10;P-;AH7;10;6;354.8;608.8;406.9;194551;2482;0.397;0.01275758;1.715945762
31;365;4;11;P-;AH7;10;6;254.3;636.9;360.6;180391;2490;0.366;0.013803349;2.50434704
31;366;4;12;P-;AH7;10;6;222.9;580.8;342.1;156039;2360;0.352;0.015124424;2.60580978
34;397;3;7;P-;AH5;10;8;288.1;579.5;510.2;232224;2516;0.461;0.010834367;2.011269062
34;398;3;8;P-;AH5;10;8;218.9;737.9;419.6;243172;2896;0.364;0.011909266;3.370760854
34;399;3;9;P-;AH5;10;8;179.9;464.5;375.0;136819;2036;0.415;0.014880974;2.581838191
42;484;4;10;P+;PH1;10;8;283.9;646.2;537.9;272999;3064;0.365;0.011223484;2.276190845
42;485;4;11;P+;PH1;10;8;246.5;699.0;458.0;251439;2968;0.359;0.011804056;2.835946249
42;486;4;12;P+;PH1;10;8;129.8;625.4;397.9;195410;2826;0.307;0.014461901;4.819306263
57;653;3;8;P-;M28;10;10;249.1;686.2;471.9;254316;2940;0.37;0.011560421;2.75463632
57;652;3;7;P-;M28;10;10;278.0;599.2;452.2;212781;2674;0.374;0.012566912;2.154946142
57;654;3;9;P-;M28;10;10;164.8;604.3;388.9;184547;2434;0.391;0.013189052;3.665542405
50;571;1;1;P-;M36;10;10;143.0;591.7;328.1;152474;2124;0.425;0.013930244;4.137671329
50;572;1;2;P-;M36;10;10;217.0;607.2;300.4;143265;2150;0.389;0.015007155;2.79807103
50;573;1;3;P-;M36;10;10;170.4;551.7;272.7;118170;1984;0.377;0.016789371;3.237849606
1;7;3;7;P-;AH6;11;1;242.1;685.7;536.9;289167;2966;0.413;0.010257049;2.832946367
1;8;3;8;P-;AH6;11;1;174.7;700.1;469.1;257936;2902;0.385;0.011250853;4.00609449
1;9;3;9;P-;AH6;11;1;130.8;601.7;353.4;167023;2390;0.367;0.014309406;4.599970951
25;289;3;7;P-;M24;11;5;342.4;751.2;509.0;300301;3180;0.373;0.010589375;2.193731145
