Sequence_ID	Organism
M_elliptica_02 	Mercurialis elliptica
M_elliptica_01 	Mercurialis elliptica
M_huetii_0719 	Mercurialis huetii
M_huetii_0678 	Mercurialis huetii
P+_PH3_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH1_2015_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH4_2015_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH4_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH1_2014_03 	"Mercurialis annua (hexaploid, P+)"
P+_M31_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH2_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH1_03 	"Mercurialis annua (hexaploid, P+)"
Catalonia_2X_0002 	Mercurialis annua (diploid)
Turkey_2X_0080 	Mercurialis annua (diploid)
Isarel_2X_0059 	Mercurialis annua (diploid)
Italy_2X_0061 	Mercurialis annua (diploid)
M_canariensis_0209 	Mercurialis canariensis (tetraploid)
M_canariensis_0091 	Mercurialis canariensis (tetraploid)
M_canariensis_0200 	Mercurialis canariensis (tetraploid)
Catalonia_6X_0020 	Mercurialis annua (hexaploid)
Seville_6X_0058 	Mercurialis annua (hexaploid)
P-_M32_03 	"Mercurialis annua (hexaploid, P-)"
P+_PH3_2015_03 	"Mercurialis annua (hexaploid, P+)"
P+_PH8_03 	"Mercurialis annua (hexaploid, P+)"
P-_M38_03 	"Mercurialis annua (hexaploid, P-)"
P-_M28_03 	"Mercurialis annua (hexaploid, P-)"
P-_M24_03 	"Mercurialis annua (hexaploid, P-)"
P-_AH7_03 	"Mercurialis annua (hexaploid, P-)"
P-_AH6_03 	"Mercurialis annua (hexaploid, P-)"
P-_AH5_03 	"Mercurialis annua (hexaploid, P-)"
P-_M30_03 	"Mercurialis annua (hexaploid, P-)"
P+_PH2_2015_03 	"Mercurialis annua (hexaploid, P+)"
P-_M34_03 	"Mercurialis annua (hexaploid, P-)"
Morocco_4X_1020 	Mercurialis annua (tetraploid)
Morocco_4X_1018 	Mercurialis annua (tetraploid)
Morocco_4X_1031 	Mercurialis annua (tetraploid)
Morocco_6X_0060 	Mercurialis annua (hexaploid)
Catalonia_6X_0011 	Mercurialis annua (hexaploid)
Ricinus_communis 	Ricinus communis 
M_perennis_01 	Mercurialis perennis
M_perennis_02 	Mercurialis perennis
M_tomentosa_01 	Solanum lycopersicum 
M_reverchonii_02 	Mercurialis reverchonii
M_reverchonii_01 	Mercurialis reverchonii
M_tomentosa_02 	Solanum lycopersicum 
