morph,pop,block,fam,p_length,b_length,b_w,b_area,b_peri,b_circ,per_area,bla_pet,height,branch_0,branch_1,branch_2,i-node-3,i-node_4,i-node_5,curly,ped_n,top_ped,fem_ped,avg_p,trichomes,pollen,seed,seedn,biom,avgseedw,pollalloc,seedallo,sexallo
P-,AH5,8,10,228.9873333,593.9763333,434.943,204071.6667,2482.666667,0.413333333,0.012541536,2.654622702,28.6,9.6,11.9,17.2,39,32,29,0,0,0,0,3.476,0,112.85,608.46,268,NA,2.270373134,NA,NA,0.156451456
P-,AH5,4,31,173.9126667,630.9283333,335.148,167558,2533.333333,0.323,0.015576141,3.77681548,28,14.6,13.6,11.6,34,41,45,0,0,0,0,5.548,0,86.1,348.02,234,4.058,1.487264957,21.21734845,85.76145885,0.198332258
P-,AH5,2,23,204.764,578.5183333,334.6793333,152058,2386,0.335333333,0.016017486,3.024786495,22,16.3,10.2,8.3,39,32,21,0,0,0,0,2.53,1,86.51,401.52,157,3.388,2.557452229,25.53423849,118.5123967,0.177263693
P-,AH5,3,29,245.884,588.858,363.176,168502,2326,0.39,0.013919651,2.396796628,21.9,16.5,16,13.4,27,47,34,0,0,0,0,1.204,1,27.15,358.92,226,3.866,1.588141593,7.022762545,92.84014485,0.070324035
P-,AH5,6,3,181.5276667,710.1403333,397.4236667,224145.6667,2591.333333,0.413,0.011918147,4.556119874,32.5,17,16.1,15.8,48,55,38,0,0,0,0,4.87,1,99.54,551.65,233,3.649,2.367596567,27.27870649,151.178405,0.152858613
P-,AH5,9,21,173.302,853.82,443.4473333,306215.6667,3601.333333,0.285,0.012796629,5.960264882,34,17.2,15.9,19.9,60,60,56,0,14,4,7,28.51,1,210.35,285.15,127,4.763,2.245275591,44.16334243,59.86773042,0.424520686
P-,AH5,1,21,164.2423333,726.587,372.9003333,215318.6667,2656.666667,0.378666667,0.012640967,4.738664185,37.3,17.7,19.4,17.7,43,52,47,0,0,0,0,4.836,0,180.86,529.93,224,NA,2.365758929,NA,NA,0.254449275
P-,AH5,5,33,240.463,661.3053333,350.1103333,181840.6667,2651.333333,0.325333333,0.014653353,2.932009415,30,18.9,17.8,16.6,34,43,40,0,0,0,0,4.104,0,198.36,207.77,108,4.158,1.923796296,47.70562771,49.96873497,0.48841504
P-,AH6,4,31,147.7876667,543.4913333,329.721,144189.6667,2152.666667,0.381,0.015750582,3.801230557,29.3,14.2,15.6,14,41,45,41,0,0,0,0,2.794,0,75.33,820.74,301,4.176,2.726710963,18.0387931,196.5373563,0.084067093
P-,AH6,2,40,218.1506667,713.209,475.1823333,270648.6667,3037.333333,0.360333333,0.011711775,3.397608598,32.3,15.5,9.4,12.2,48,58,60,0,8,1,3,24.136,0,126.51,338.48,143,4.32,2.366993007,29.28472222,78.35185185,0.272070367
P-,AH6,1,11,182.5383333,662.5063333,453.1513333,238042,2752.666667,0.388333333,0.011939103,3.813003936,28.6,16.6,11.7,14.5,44,51,47,0,0,0,0,4.275,1,98.06,555.22,252,3.781,2.203253968,25.93493785,146.8447501,0.15010409
P-,AH6,6,18,151.364,511.6026667,339.061,139338.3333,2193.333333,0.355333333,0.016573243,3.429652945,32.1,19.3,18.4,15.6,45,49,38,0,0,0,0,4.79,0,138.71,578.96,198,3.933,2.924040404,35.26824307,147.2056954,0.193278248
P-,AH6,8,14,120.6936667,534.873,405.497,170221.3333,2416,0.366666667,0.014236812,4.739894063,34.8,19.5,18,16.3,48,43,45,0,0,0,0,5.662,0,145.88,676.41,260,4.373,2.601576923,33.35924994,154.6787103,0.177406998
P-,AH6,5,45,313.654,832.185,511.9086667,334356.6667,3512,0.344,0.010494917,2.852276497,33.5,23.2,16.4,16.3,36,38,36,0,0,0,0,3.646,0,185.43,384.04,172,5.444,2.232790698,34.06135195,70.54371785,0.325618558
P-,AH6,3,34,217.6993333,575.97,381.2816667,172702.3333,2399.333333,0.376666667,0.013921852,3.025799045,32.5,23.5,17.1,16.4,36,53,45,0,0,0,0,3.098,0,126.65,355.33,183,4.802,1.941693989,26.37442732,73.99625156,0.262770239
P-,AH6,9,11,186.1956667,575.466,412.7023333,191271.3333,2628.666667,0.343,0.014436515,3.327636624,35,23.5,15.8,24.1,35,47,62,0,0,0,0,9.232,0,92.71,388.09,168,3.993,2.310059524,23.21813173,97.19258703,0.192824459
P-,AH6,11,34,151.8513333,603.1356667,400.7596667,191920,2519.333333,0.374333333,0.013538033,4.342172492,37.1,27.1,22.6,19.4,48,51,50,0,0,0,0,4.544,0,108.07,816.66,382,6.03,2.137853403,17.92205638,135.4328358,0.116866545
P-,AH6,7,23,201.1923333,792.5633333,516.9366667,321971.6667,3365.333333,0.358333333,0.010500865,4.231525458,49,35.6,28,26.5,47,55,74,0,0,0,0,4.492,1,106.76,796.84,352,5.318,2.26375,20.07521625,149.8382851,0.118149624
P-,AH6,10,40,185.0186667,736.37,414.954,243994.3333,3037.333333,0.326,0.012928059,4.003454287,34.2,17.5,12.5,17.4,41,49,46,1,0,0,0,3.156,0,NA,421.66,185,4.462,2.279243243,0,94.50022411,0
P-,AH7,4,34,214.081,527.5566667,344.1803333,142402.3333,2111.333333,0.401666667,0.014838102,2.692914846,14.1,9,9.6,5,29,22,20,0,0,0,0,2.31,1,89.4,234.5,97,3.309,2.417525773,27.01722575,70.86733152,0.276011115
P-,AH7,6,10,277.34,608.8503333,369.8483333,176993.6667,2444,0.371666667,0.013895118,2.275367527,14.1,10.2,8,4.8,28,26,19,0,0,0,0,8.254,0,186.54,207.93,93,3.273,2.235806452,56.99358387,63.52887259,0.472887672
P-,AH7,11,34,120.5526667,747.0833333,459.1103333,269709.3333,3005.333333,0.374333333,0.011250121,6.280257088,21.5,10.3,6.3,5.7,30,36,32,0,0,0,0,2.58,1,124.87,293.96,148,4.051,1.986216216,30.82448778,72.56479882,0.298140057
P-,AH7,10,6,256.6436667,647.0663333,430.477,218706.6667,2420.666667,0.467666667,0.011159987,2.823266492,19.7,10.8,4.9,5.5,30,30,26,0,0,0,0,1.108,1,46.37,278.61,122,3.297,2.283688525,14.06430088,84.50409463,0.142685704
P-,AH7,2,3,307.777,565.777,353.5276667,156862,2204,0.403333333,0.014204584,1.866147529,16.3,11.5,10,5,24,23,21,0,0,0,0,1.994,0,81.69,226.92,92,3.403,2.466521739,24.00528945,66.68233911,0.264703023
P-,AH7,9,3,405.6253333,564.2916667,390.375,172880.3333,2152.666667,0.469,0.012454646,1.393797766,21,12.3,9.2,8,26,32,29,0,0,0,0,2.266,0,73.34,377.22,165,4.411,2.286181818,16.62661528,85.51802312,0.162775213
P-,AH7,8,40,252.655,537.624,346.179,145591.3333,2027.333333,0.443333333,0.014070571,2.247464215,18.1,12.4,6.9,7.6,34,33,30,0,0,0,0,1.202,0,93.16,304.78,140,3.522,2.177,26.45088018,86.53605906,0.234105644
P-,AH7,7,29,378.1383333,678.1343333,369.1806667,196830.6667,2503.333333,0.394,0.012756491,2.013275584,15.9,12.5,10.3,6,30,32,22,0,0,0,0,3.044,0,88.8,303.76,111,3.367,2.736576577,26.37362637,90.21681022,0.226207459
P-,AH7,3,6,269.0453333,590.6873333,393.7273333,184134,2270.666667,0.445333333,0.012548906,2.282560299,18.6,12.8,8.7,6.9,34,30,23,0,0,0,0,1.836,0,62.16,398.59,157,3.348,2.538789809,18.56630824,119.0531661,0.134910472
P-,AH7,5,18,215.6206667,705.9676667,422.1793333,235288.3333,2529.333333,0.460666667,0.010854946,3.603425353,19.6,13.5,7,6.3,35,35,25,0,0,0,0,1.982,1,63.5,404.35,160,3.823,2.5271875,16.60999215,105.7677217,0.135727263
P-,AH7,1,40,293.5713333,613.7956667,333.645,161063.3333,2210.666667,0.412333333,0.013891751,2.178775704,18.4,14.3,11.4,4.9,30,29,30,0,0,0,0,1.442,0,73.19,540.6,256,4.47,2.11171875,16.37360179,120.9395973,0.119242738
P-,M24,1,6,251.1116667,641.809,362.6956667,183135,2658.666667,0.323,0.014781425,2.620172478,29.8,13.5,14.3,12.2,35,41,40,0,3,0,1,20.524,0,111.17,516.65,228,3.735,2.266008772,29.7643909,138.3266399,0.177073046
P-,M24,8,22,196.5226667,725.2596667,444.1216667,253208.6667,3083.333333,0.335333333,0.012238007,4.452582777,29,14.2,11.5,12.5,50,37,36,0,0,0,0,6.768,0,104.2,470.52,190,3.575,2.476421053,29.14685315,131.613986,0.181305679
P-,M24,6,2,138.646,557.7576667,356.097,158807.3333,2398,0.337666667,0.016019289,4.136717451,34.4,16.6,17.4,17.2,55,67,49,0,0,0,0,3.864,0,182.12,341.68,121,4.02,2.823801653,45.30348259,84.99502488,0.347689958
P-,M24,5,11,254.3323333,684.8266667,407.2576667,223355,2864,0.332,0.013625897,2.876577363,32.7,20.4,18.3,20.8,47,52,51,0,0,0,0,2.704,0,67.64,753.1,284,4.459,2.651760563,15.16932048,168.8943709,0.082413432
P-,M24,3,14,137.1633333,617.1443333,318.3446667,155806,2517.333333,0.304333333,0.016635943,4.580325185,43.1,27.2,24.9,20,45,63,53,0,0,0,0,3.224,0,99.99,883.99,353,5.231,2.504220963,19.11489199,168.9906328,0.101617919
P-,M24,11,9,204.296,605.9976667,356.7476667,170306,2668.666667,0.298666667,0.016052316,2.996709035,43,29.2,28.6,22.1,46,61,51,0,0,0,0,5.194,0,169.1,707.49,301,5.677,2.350465116,29.78685926,124.6239211,0.192906604
P-,M24,10,14,162.9653333,622.571,383.8326667,190378.6667,2578,0.353333333,0.014091857,4.211934111,44.5,31.6,29.2,24.6,44,47,49,0,0,0,0,2.514,0,151.09,831.7,379,6.275,2.194459103,24.07808765,132.5418327,0.153735793
P-,M24,2,18,132.1036667,578.9,353.954,161800.6667,2406.666667,0.348,0.015172076,4.546374812,46,33,25.8,23.7,45,57,66,0,0,0,0,3.8,0,140.61,500.73,245,5.701,2.043795918,24.66409402,87.83195931,0.219244083
P-,M24,4,9,70.57866667,566.2393333,365.0346667,164919,2349.333333,0.367,0.014882817,8.086799207,39,23.5,21,21.4,34,42,58,1,0,0,0,3.604,0,164.22,772.25,325,4.916,2.376153846,33.40520749,157.0890968,0.175360663
P-,M27,9,no fam,157.342,620.5953333,415.416,204527,2692.666667,0.348666667,0.013673434,4.099519869,35.5,5.5,17.6,19.5,45,46,45,0,0,0,0,2.846,1,118.98,661.97,294,4.272,2.251598639,27.8511236,154.9555243,0.152352904
P-,M27,11,no fam,148.5246667,811.8223333,591.5036667,379984.6667,3794,0.329333333,0.01021208,5.682279995,30,11,12.1,15.1,43,47,59,0,1,0,0,12.48,1,220.04,385.9,180,4.015,2.143888889,54.80448319,96.11457036,0.363138265
P-,M27,8,no fam,123.0236667,572.5546667,401.5533333,182572.6667,2492.666667,0.361333333,0.01422053,4.711781819,28.8,13,11.3,11.5,43,49,33,0,1,1,1,2.254,1,75.64,419.18,193,NA,2.171917098,NA,NA,0.152863668
P-,M27,3,no fam,180.0313333,618.0686667,497.3003333,245372.3333,2886.666667,0.364,0.012245422,3.647483663,32.3,20.5,23,18.2,46,62,51,0,0,0,0,2.362,1,154.37,496.54,209,3.749,2.375789474,41.17631368,132.4459856,0.237160283
P-,M27,5,no fam,188.16,666.647,527.5453333,284714.3333,2940,0.404666667,0.011008332,3.5971656,33.2,22.7,19.4,21.8,52,67,55,0,0,0,0,4.36,1,140.03,661.5,295,4.435,2.242372881,31.57384442,149.1544532,0.17470338
P-,M27,1,no fam,133.975,657.0093333,485.1446667,251418.3333,2936.666667,0.364333333,0.011893717,5.149643721,26.3,8.2,16.3,16.1,41,49,46,1,8,0,6,21.908,1,186.25,429.65,178,3.396,2.413764045,54.84393404,126.51649,0.302402987
P-,M27,10,no fam,103.5043333,571.43,474.7703333,219646,2566.666667,0.408333333,0.012370615,5.477065864,34,11.1,11.9,24.2,59,45,55,1,2,0,0,14.518,1,NA,506.42,234,4.075,2.164188034,0,124.2748466,0
P-,M27,4,no fam,132.38,409.7996667,355.648,114180,1942,0.385333333,0.01699229,3.605104202,24,11.2,11.9,12.9,58,35,42,1,0,0,0,4.424,1,136.19,164,70,2.921,2.342857143,46.62444368,56.14515577,0.453679336
P-,M27,6,no fam,135.7086667,377.491,315.2826667,93392.33333,1706,0.403333333,0.018328463,2.965270985,29.1,13.4,12.5,18.1,51,55,40,1,0,0,0,4.934,1,121.99,350.13,187,3.531,1.872352941,34.5482866,99.1588785,0.258387698
P-,M27,2,no fam,142.1586667,620.84,413.2506667,205087.6667,2730.666667,0.337333333,0.013934237,4.480899049,29.2,13.5,16.2,15.5,50,49,46,1,0,0,0,4.68,1,139.64,486.03,235,3.636,2.068212766,38.40484048,133.6716172,0.223184746
P-,M27,7,no fam,126.6953333,498.897,383.3656667,163871,2255.333333,0.376,0.016089689,3.952328159,28.4,15.9,12.3,13.8,57,51,42,1,0,0,0,4.192,1,148.48,351.23,157,3.55,2.237133758,41.82535211,98.93802817,0.297132337
P-,M28,6,27,170.222,362.8156667,210.1063333,61435.66667,1430.666667,0.369333333,0.024569008,2.146988021,17.2,8.5,3.2,6,25,17,21,0,3,1,3,16.798,0,76.12,80.72,30,1.975,2.690666667,38.54177215,40.87088608,0.485335374
P-,M28,1,30,191.2693333,438.6223333,250.1283333,85850.66667,1707.333333,0.372,0.019898672,2.293744847,16.6,11.1,4.7,6.3,24,26,22,0,0,0,0,3.396,0,51.5,85.79,32,1.585,2.6809375,32.49211356,54.12618297,0.375118363
P-,M28,8,25,224.4468333,634.2206667,436.227,218888.6667,2647.333333,0.388833333,0.012340787,2.858155165,25.6,12,10.8,10.9,39,28,28,0,0,0,0,2.6,0,77.47,386.83,125,3.83,3.09464,20.22715405,101,0.166853328
P-,M28,5,18,248.811,614.6456667,379.5193333,185956.3333,2479.333333,0.373333333,0.013800389,2.532944216,23.5,14.5,8.9,9.5,39,39,29,0,0,0,0,3.454,0,108.61,576.69,231,4.391,2.496493506,24.73468458,131.3345479,0.158485335
P-,M28,7,24,301.2803333,517.623,349.4926667,142099,2141.333333,0.392666667,0.015075274,1.72039971,24.6,14.7,13.4,11.4,36,34,31,0,0,0,0,1.84,0,128.13,620.6,292,4.902,2.125342466,26.13831089,126.6013872,0.17112978
P-,M28,11,20,259.779,678.6526667,462.4593333,246422,2812,0.390666667,0.01147662,2.687291216,28.7,15.4,10.1,13.8,28,30,38,0,0,0,0,8.07,1,114.44,592.86,227,5.006,2.611718062,22.86056732,118.4298841,0.161798388
P-,M28,2,10,225.5963333,461.8116667,336.4743333,128834.3333,1910,0.427666667,0.016392981,2.054936106,23.2,15.5,11.4,10.6,33,41,25,0,0,0,0,4.06,0,149.34,633.64,220,4.672,2.880181818,31.96489726,135.625,0.190732841
P-,M28,10,10,230.6713333,629.8893333,437.6253333,217214.6667,2682.666667,0.378333333,0.012438795,2.858374956,24.4,15.5,10.4,11.7,27,32,30,0,0,0,0,2.158,0,74.01,602.8,233,4.098,2.587124464,18.06002928,147.0961445,0.109351221
P-,M28,4,6,237.769,470.8743333,327.348,124435.3333,1888,0.429333333,0.016027298,1.969649245,29.9,16.5,12.8,14.3,48,50,45,0,0,0,0,5.03,0,91.85,320.66,147,4.773,2.181360544,19.24366227,67.18206579,0.222661269
P-,M28,9,30,234.847,701.861,427.094,236074,2852.666667,0.363666667,0.012183182,3.109657634,31,16.5,13.8,20.2,35,41,40,0,0,0,0,1.594,0,58.39,796.59,339,5.484,2.349823009,10.64733771,145.2571116,0.068293995
P-,M28,3,20,228.785,593.647,372.6626667,174320.3333,2406,0.377,0.013913895,2.71627759,24,11.8,9.5,10.5,26,37,33,1,0,0,0,4.168,1,146.11,482.78,168,3.649,2.873690476,40.04110715,132.304741,0.232329978
P-,M31,2,no fam,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,0,6,NA,NA,NA,0,187.79,297.05,169,3.514,1.757692308,53.44052362,84.53329539,0.387323653
P-,M32,5,no fam,202.0903333,498.6723333,337.6563333,139561.6667,2142.666667,0.363333333,0.01712918,3.224877004,21,10.9,14.1,14.9,17,27,35,0,0,0,0,7.546,0,73.12,246.33,107,2.998,2.302149533,24.38959306,82.16477652,0.228893411
P-,M32,8,no fam,140.6323333,435.522,241.663,88052.33333,1718.666667,0.344,0.0227912,3.320893637,20.9,13.5,13.7,12.5,33,33,34,0,0,0,0,2.736,0,49.39,307.91,185,2.637,1.664378378,18.72961699,116.7652636,0.138231178
P-,M32,7,no fam,260.8866667,625.2276667,460.506,226520,2666.666667,0.399333333,0.011878778,2.464231075,22.8,14.8,13.7,13.6,33,31,33,0,0,0,0,3.42,0,51.34,663.18,302,3.174,2.195960265,16.17517328,208.9413989,0.071852432
P-,M32,2,no fam,183.8803333,551.1893333,394.7236667,170459.6667,2356,0.388,0.013902701,3.064558946,26,16,14.1,16,41,35,49,0,0,0,0,5.6,0,166.75,751.24,337,3.945,2.229198813,42.26869455,190.4283904,0.181646859
P-,M32,4,no fam,228.495,619.2533333,400.1376667,201403.6667,2456.666667,0.405,0.013102142,2.711507368,27.9,16.4,20.8,19.2,34.4,36,42,0,0,0,0,5.496,0,177.33,797.49,389,4.363,2.050102828,40.64405226,182.7847811,0.181910507
P-,M32,10,no fam,219.9493333,605.223,426.072,205496.6667,2485.333333,0.41,0.012567612,2.843690384,25.9,16.8,15.5,16.3,33,31,36,0,0,0,0,6.572,0,73.46,1014.74,446,4.821,2.275201794,15.23750259,210.4833022,0.067505973
P-,M32,1,no fam,261.6513333,672.8203333,404.9553333,216388.6667,2588,0.398333333,0.012421915,2.646428104,26.7,18,19.8,14.4,40,39,33,0,4,0,2,18.296,0,353.74,466.51,229,3.812,2.037161572,92.79643232,122.3793284,0.431258763
P-,M32,3,no fam,203.607,659.5736667,485.4733333,251420.6667,2731.333333,0.422333333,0.01092833,3.420844359,32,19,20.6,23.5,34,40,44,0,0,0,0,5.6,0,39.53,1294.39,638,5.772,2.028824451,6.848579349,224.2532918,0.029634461
P-,M32,9,no fam,189.3146667,657.779,471.7806667,245993.3333,2688.666667,0.422,0.011230617,4.287471482,30.5,20.3,21.8,21.3,36,35,41,0,0,0,0,4.39,0,72.47,934.76,464,5.452,2.014568966,13.29236977,171.4526779,0.071949803
P-,M34,6,no fam,184.548,527.1956667,257.8753333,108269.6667,1886,0.374,0.018268182,2.941283245,27.6,16,15.1,14.8,33,30,34,0,0,0,0,5.746,0,80.31,852.16,357,4.71,2.387002801,17.05095541,180.92569,0.086126095
P-,M34,2,no fam,293.5306667,560.258,385.4536667,173504.6667,2280,0.412333333,0.01384747,1.976378472,29,18.1,11.4,13.9,31,33,38,0,0,0,0,3.55,0,135.95,820.22,396,5.5,2.071262626,24.71818182,149.1309091,0.14218183
P-,M34,3,no fam,177.4865,503.604,352.981,139456.5,1997,0.4345,0.01465395,3.132214733,35,19,24.1,20.6,33,44,38,0,0,0,0,4,0,358.45,611.27,320,5.479,1.91021875,65.42252236,111.5659792,0.369642783
P-,M34,1,no fam,239.4166667,638.803,298.196,151068.3333,2277.333333,0.361666667,0.01561596,2.705125462,30.8,21.1,18.6,19.2,44,47,45,0,0,0,0,10,0,182.2,788.19,354,3.853,2.226525424,47.28782767,204.5652738,0.187759561
P-,M34,7,no fam,194.63,761.458,412.6206667,248839,2891.333333,0.368,0.012200614,4.607553272,38.3,24,20.6,23.1,43,51,56,0,0,0,0,5.636,0,271.91,593.87,213,5.186,2.788122066,52.43154647,114.5140764,0.314063619
P-,M34,5,no fam,229.0105,811.735,404.3235,257633,2915,0.38,0.011420481,3.835245285,35.8,24.1,23.5,23.3,39,45,43,0,0,0,0,8.556,0,162.25,945.42,355,5.973,2.66315493,27.16390424,158.2822702,0.146478644
P-,M34,10,no fam,271.8226667,820.526,461.828,301170.3333,3143.333333,0.375666667,0.010873584,3.214788303,42.2,24.5,21.6,19,44,56,59,0,5,1,0,45.936,0,187.64,175.69,89,4.389,1.974044944,42.75233538,40.0296195,0.516445105
