ID_process;Table;Block;Morph;Tag;fam;rep;height;height w/i;branch_0;branch_1;branch_2;i-node-3;i-node_4;i-node_5;curly;ped_n;top_ped;fem_ped;p_1_length;p_1_clus;p_2_length;p_2_clus;p_3_length;p_3_clus;p_4_length;p_4_clus;p_5_length;p_5_clus;avg_clus;avg_p;trichomes;observer
3;1;3;P-;AH5;29;3;21.9;21.9;16.5;16;13.4;27;47;34;0;0;0;0;1.47;;1.45;;1.15;;0.66;;1.29;;;1.204;1;LS
20;1;2;P-;AH5;23;2;22;22;16.3;10.2;8.3;39;32;21;0;0;0;0;1.46;;3.75;;2.02;;1.32;;4.1;;;2.53;1;LS
37;2;8;P-;AH5;10;8;28.6;28.6;9.6;11.9;17.2;39;32;29;0;0;0;0;1.7;;3.41;;3.98;;5.59;;2.7;;;3.476;0;LS
48;2;5;P-;AH5;33;5;30;30;18.9;17.8;16.6;34;43;40;0;0;0;0;5.62;;4.81;;2.34;;4.04;;3.71;;;4.104;0;LS
65;1;1;P-;AH5;21;1;37.3;37.3;17.7;19.4;17.7;43;52;47;0;0;0;0;5.89;;5.38;;1.92;;4.6;;6.39;;;4.836;0;LS
67;2;6;P-;AH5;3;6;32.5;32.5;17;16.1;15.8;48;55;38;0;0;0;0;4.86;;3.54;;4.8;;3.57;;7.58;;;4.87;1;WJ
73;1;4;P-;AH5;31;4;28;28;14.6;13.6;11.6;34;41;45;0;0;0;0;13.37;;7.17;;2.3;;1.9;;3;;;5.548;0;SA
118;3;9;P-;AH5;21;9;34;35.2;17.2;15.9;19.9;60;60;56;0;14;4;7;26.45;1;34.85;1;19.81;1;24.03;1;37.41;1;1;28.51;1;WJ
26;1;4;P-;AH6;31;4;29.3;29.3;14.2;15.6;14;41;45;41;0;0;0;0;4.13;;3.32;;2.25;;1.49;;2.78;;;2.794;0;SA
30;1;3;P-;AH6;34;3;32.5;32.5;23.5;17.1;16.4;36;53;45;0;0;0;0;3.3;;2.08;;3.14;;2.78;;4.19;;;3.098;0;LS
32;3;10;P-;AH6;40;10;34.2;34.2;17.5;12.5;17.4;41;49;46;1;0;0;0;3.67;;2.87;;3.42;;2.99;;2.83;;;3.156;0;WJ
41;2;5;P-;AH6;45;5;33.5;33.5;23.2;16.4;16.3;36;38;36;0;0;0;0;3.54;;2.37;;4.97;;4.66;;2.69;;;3.646;0;LS
52;1;1;P-;AH6;11;1;28.6;28.6;16.6;11.7;14.5;44;51;47;0;0;0;0;5.9;;3.78;;4.05;;3.37;;;;;4.275;1;SA
58;2;7;P-;AH6;23;7;49;49;35.6;28;26.5;47;55;74;0;0;0;0;4.2;;4.79;;6.02;;4.85;;2.6;;;4.492;1;WJ
59;3;11;P-;AH6;34;11;37.1;37.1;27.1;22.6;19.4;48;51;50;0;0;0;0;1.52;;2.46;;13.85;;2.88;;2.01;;;4.544;0;WJ
63;2;6;P-;AH6;18;6;32.1;32.1;19.3;18.4;15.6;45;49;38;0;0;0;0;5.41;;4.44;;5.33;;3.78;;4.99;;;4.79;0;WJ
78;2;8;P-;AH6;14;8;34.8;34.8;19.5;18;16.3;48;43;45;0;0;0;0;1.54;;5.48;;4.98;;4.23;;12.08;;;5.662;0;WJ
95;3;9;P-;AH6;11;9;35;35;23.5;15.8;24.1;35;47;62;0;0;0;0;11.65;;4.29;;9.09;;11.29;;9.84;;;9.232;0;WJ
111;1;2;P-;AH6;40;2;32.3;32.3;15.5;9.4;12.2;48;58;60;0;8;1;3;29.1;1;27.66;2;30.35;1;17.09;2;16.48;1;1.4;24.136;0;LS
1;3;10;P-;AH7;6;10;19.7;19.7;10.8;4.9;5.5;30;30;26;0;0;0;0;1.22;;1.26;;0.96;;0.99;;1.11;;;1.108;1;LS
2;2;8;P-;AH7;40;8;18.1;18.1;12.4;6.9;7.6;34;33;30;0;0;0;0;1.78;;0.5;;1.53;;1.1;;1.1;;;1.202;0;SA
4;1;1;P-;AH7;40;1;18.4;18.4;14.3;11.4;4.9;30;29;30;0;0;0;0;0.7;;0.88;;1.26;;2.47;;1.9;;;1.442;0;LS
8;1;3;P-;AH7;6;3;18.6;18.6;12.8;8.7;6.9;34;30;23;0;0;0;0;1.3;;2.51;;1.88;;1.42;;2.07;;;1.836;0;LS
10;2;5;P-;AH7;18;5;19.6;19.6;13.5;7;6.3;35;35;25;0;0;0;0;1.65;;1.06;;2.72;;2.8;;1.68;;;1.982;1;LS
11;1;2;P-;AH7;3;2;16.3;16.3;11.5;10;5;24;23;21;0;0;0;0;1.58;;1.57;;1.81;;2.45;;2.56;;;1.994;0;LS
14;3;9;P-;AH7;3;9;21;21;12.3;9.2;8;26;32;29;0;0;0;0;1.31;;2.04;;2.43;;2.45;;3.1;;;2.266;0;LS
15;1;4;P-;AH7;34;4;14.1;14.1;9;9.6;5;29;22;20;0;0;0;0;2.05;;1.94;;1.97;;3.37;;2.22;;;2.31;1;LS
22;3;11;P-;AH7;34;11;21.5;21.5;10.3;6.3;5.7;30;36;32;0;0;0;0;3.17;;1.27;;3.14;;3.15;;2.17;;;2.58;1;WJ
29;2;7;P-;AH7;29;7;15.9;15.9;12.5;10.3;6;30;32;22;0;0;0;0;1.74;;2.41;;4;;4.04;;3.03;;;3.044;0;SA
90;2;6;P-;AH7;10;6;14.1;14.1;10.2;8;4.8;28;26;19;0;0;0;0;4.6;;10.03;;10.81;;13.82;;2.01;;;8.254;0;LS
19;3;10;P-;M24;14;10;44.5;44.5;31.6;29.2;24.6;44;47;49;0;0;0;0;2.94;;2.94;;1.6;;1.6;;3.49;;;2.514;0;WJ
24;2;5;P-;M24;11;5;32.7;32.7;20.4;18.3;20.8;47;52;51;0;0;0;0;3.07;;2.75;;1.94;;2.44;;3.32;;;2.704;0;LS
33;1;3;P-;M24;14;3;43.1;43.1;27.2;24.9;20;45;63;53;0;0;0;0;3.03;;2.42;;2.71;;2.73;;5.23;;;3.224;0;LS
40;1;4;P-;M24;9;4;39;39;23.5;21;21.4;34;42;58;1;0;0;0;5.51;;4.53;;4.84;;1.61;;1.53;;;3.604;0;WJ
45;2;6;P-;M24;2;6;34.4;34.4;16.6;17.4;17.2;55;67;49;0;0;0;0;3.07;;4.7;;4.24;;4.24;;3.07;;;3.864;0;WJ
70;3;11;P-;M24;9;11;43;43;29.2;28.6;22.1;46;61;51;0;0;0;0;7.12;;4.14;;4.7;;3.76;;6.25;;;5.194;0;LS
83;2;8;P-;M24;22;8;29;29;14.2;11.5;12.5;50;37;36;0;0;0;0;15.36;;3.71;;3.35;;3.88;;7.54;;;6.768;0;LS
105;1;1;P-;M24;6;1;29.8;29.8;13.5;14.3;12.2;35;41;40;0;3;0;1;37.16;2;22.49;1;20.17;1;13.5;;9.3;;1.333333333;20.524;0;SA
42;1;2;P-;M24;18;2;46;33;33;25.8;23.7;45;57;66;0;0;0;0;4;0;4;0;4;0;4;0;3;0;0;3.8;0;WJ
13;2;8;P-;M27;;8;28.8;28.8;13;11.3;11.5;43;49;33;0;1;1;1;1.58;;1.39;;1.86;;1.57;;4.87;;;2.254;1;LS
17;1;3;P-;M27;;3;32.3;32.3;20.5;23;18.2;46;62;51;0;0;0;0;1.76;;1.16;;1.65;;4.45;;2.79;;;2.362;1;LS
27;3;9;P-;M27;9;9;35.5;35.5;5.5;17.6;19.5;45;46;45;0;0;0;0;1.81;;1.82;;3.46;;2.27;;4.87;;;2.846;1;LS
50;2;7;P-;M27;;7;28.4;28.4;15.9;12.3;13.8;57;51;42;1;0;0;0;3.11;;4.53;;5.6;;5.85;;1.87;;;4.192;1;SA
