ID_process;Table;Block;Morph;Tag;fam;rep;height;height w/i;branch_0;branch_1;branch_2;i-node-3;i-node_4;i-node_5;curly;ped_n;top_ped;fem_ped;p_1_length;p_1_clus;p_2_length;p_2_clus;p_3_length;p_3_clus;p_4_length;p_4_clus;p_5_length;p_5_clus;avg_clus;avg_p;trichomes;observer
53;2;5;P-;M27;;5;33.2;33.2;22.7;19.4;21.8;52;67;55;0;0;0;0;2.1;;1.6;;5.2;;11.8;;1.1;;;4.36;1;WJ
57;1;4;P-;M27;;4;24;24;11.2;11.9;12.9;58;35;42;1;0;0;0;5.21;;4.3;;5.4;;4.75;;2.46;;;4.424;1;SA
60;1;2;P-;M27;;2;29.2;29.2;13.5;16.2;15.5;50;49;46;1;0;0;0;5.87;;7.57;;3.31;;2.83;;3.82;;;4.68;1;SA
68;2;6;P-;M27;;6;29.1;29.1;13.4;12.5;18.1;51;55;40;1;0;0;0;4.38;;7.97;;4.85;;3.32;;4.15;;;4.934;1;SA
98;3;11;P-;M27;;11;30;30;11;12.1;15.1;43;47;59;0;1;0;0;38.29;2;11.01;;4.42;;4.14;;4.54;;2;12.48;1;WJ
109;1;1;P-;M27;;1;26.3;26.3;8.2;16.3;16.1;41;49;46;1;8;0;6;26.04;1;28.8;1;23.19;2;21.83;2;9.68;1;1.4;21.908;1;WJ
100;3;10;P-;M27;;10;34;34;11.1;11.9;24.2;59;45;55;1;2;0;0;22.66;1;29.55;2;10.51;1;5.91;0;3.96;0;0.8;14.518;1;WJ
6;3;9;P-;M28;30;9;31;31;16.5;13.8;20.2;35;41;40;0;0;0;0;0.84;;1.9;;2.5;;1.64;;1.09;;;1.594;0;WJ
9;2;7;P-;M28;24;7;24.6;24.6;14.7;13.4;11.4;36;34;31;0;0;0;0;1.9;;2;;1.4;;0.7;;3.2;;;1.84;0;ST
12;3;10;P-;M28;;10;24.4;24.4;15.5;10.4;11.7;27;32;30;0;0;0;0;1.69;;1.58;;2.37;;2.41;;2.74;;;2.158;0;LS
23;2;8;P-;M28;25;8;25.6;25.6;12;10.8;10.9;39;28;28;0;0;0;0;2.23;;2.3;;2.91;;2.48;;3.08;;;2.6;0;LS
34;1;1;P-;M28;30;1;16.6;16.6;11.1;4.7;6.3;24;26;22;0;0;0;0;5.01;;5.37;;2.95;;1.95;;1.7;;;3.396;0;SA
36;2;5;P-;M28;18;5;23.5;23.5;14.5;8.9;9.5;39;39;29;0;0;0;0;2.27;;3.14;;3.64;;3.35;;4.87;;;3.454;0;WJ
47;1;2;P-;M28;10;2;23.2;23.2;15.5;11.4;10.6;33;41;25;0;0;0;0;4.93;;2.96;;5.08;;3.93;;3.4;;;4.06;0;SA
49;1;3;P-;M28;20;3;24;24;11.8;9.5;10.5;26;37;33;1;0;0;0;3.36;;3.37;;3.85;;4.32;;5.94;;;4.168;1;WJ
69;1;4;P-;M28;6;4;29.9;29.9;16.5;12.8;14.3;48;50;45;0;0;0;0;2.53;;8.8;;3.91;;5.27;;4.64;;;5.03;0;SA
89;3;11;P-;M28;20;11;28.7;28.7;15.4;10.1;13.8;28;30;38;0;0;0;0;12;;8.04;;6.81;;11.57;;1.93;;;8.07;1;WJ
101;2;6;P-;M28;27;6;17.2;17.2;8.5;3.2;6;25;17;21;0;3;1;3;26.88;1;15.03;1;7.14;1;24.92;1;10.02;1;1;16.798;0;WJ
25;2;8;P-;M32;;8;20.9;20.9;13.5;13.7;12.5;33;33;34;0;0;0;0;3.45;;2.4;;1.92;;3.5;;2.41;;;2.736;0;SA
35;2;7;P-;M32;;7;22.8;22.8;14.8;13.7;13.6;33;31;33;0;0;0;0;3.3;;5.4;;4.7;;2.4;;1.3;;;3.42;0;ST
54;3;9;P-;M32;;9;30.5;30.5;20.3;21.8;21.3;36;35;41;0;0;0;0;3.09;;3.81;;5.71;;4.72;;4.62;;;4.39;0;WJ
81;3;10;P-;M32;;10;25.9;25.9;16.8;15.5;16.3;33;31;36;0;0;0;0;3.82;;5.31;;5.71;;10.14;;7.88;;;6.572;0;LS
86;2;5;P-;M32;;5;21;21;10.9;14.1;14.9;17;27;35;0;0;0;0;4.66;;9.97;;4.39;;11.21;;7.5;;;7.546;0;LS
103;1;1;P-;M32;;1;26.7;27.5;18;19.8;14.4;40;39;33;0;4;0;2;18.81;;22.57;1;22.03;;22.08;2;5.99;;1.5;18.296;0;SA
64;2;6;P-;M32;;6;21;21;15.5;13.3;12.5;30;27;27;0;0;0;0;2.97;0;6.89;;5.5;;5.24;;3.42;;0;4.804;0;WJ
72;1;4;P-;M32;;4;27.9;27.9;16.4;20.8;19.2;34.4;36;42;0;0;0;0;10.6;0;4.8;0;1.34;0;8.04;0;2.7;0;0;5.496;0;SE
74;1;3;P-;M32;;3;32;32;19;20.6;23.5;34;40;44;0;0;0;0;6;0;7;0;6;0;3;0;6;0;0;5.6;0;WJ
75;1;2;P-;M32;;2;26;26;16;14.1;16;41;35;49;0;0;0;0;3;0;5;0;9;0;8;0;3;0;0;5.6;0;WJ
39;1;2;P-;M34;;2;29;29;18.1;11.4;13.9;31;33;38;0;0;0;0;3.93;;3.6;;3.26;;3.33;;3.63;;;3.55;0;LS
62;3;9;P-;M34;;9;44;44;33.5;30.7;24.7;50;58;64;0;0;0;0;3.62;;3.87;;4.61;;3.2;;8.57;;;4.774;0;LS
77;2;7;P-;M34;;7;38.3;38.3;24;20.6;23.1;43;51;56;0;0;0;0;6.29;;4.2;;7.55;;6.45;;3.69;;;5.636;0;WJ
79;2;6;P-;M34;;6;27.6;27.6;16;15.1;14.8;33;30;34;0;0;0;0;3.31;;6.91;;5.32;;5.05;;8.14;;;5.746;0;LS
85;1;4;P-;M34;;4;32.4;32.4;26.5;13;19;43;41;49;0;23;0;0;7.41;;11.23;;7.66;;4.91;;5.77;;;7.396;0;WJ
94;2;5;P-;M34;;5;35.8;35.8;24.1;23.5;23.3;39;45;43;0;0;0;0;7.98;;8.59;;11.94;;5.62;;8.65;;;8.556;0;WJ
97;2;8;P-;M34;;8;31;31;19..2;14.8;14.4;41;45;54;0;0;0;0;6.22;;7.27;;8.34;;20.99;;7.46;;;10.056;0;LS
221;3;11;P-;M34;;11;;;;;;;;;0;;;;;;;;;;;;;;;;0;LS
141;3;10;P-;M34;;10;42.2;43.7;24.5;21.6;19;44;56;59;0;5;1;0;80.9;2;33.35;2;32.65;2;42.33;1;40.45;2;1.8;45.936;0;LS
46;1;3;P-;M34;;3;35;35;19;24.1;20.6;33;44;38;0;0;0;0;2;0;3;0;2;0;8;0;5;0;0;4;0;WJ
96;1;1;P-;M34;;1;30.8;30.8;21.1;18.6;19.2;44;47;45;0;0;0;0;8;0;13;0;12;0;7;0;10;0;0;10;0;WJ
16;2;8;P-;M36;;8;32.3;32.3;17.9;15.5;17.6;35;47;52;0;0;0;0;1.67;;1.58;;2.77;;2.02;;3.72;;;2.352;0;LS
31;2;6;P-;M36;;6;35.1;35.1;15.2;18.8;23.5;55;53;44;0;0;0;0;1.66;;3;;4.71;;3.45;;2.71;;;3.106;0;SA
38;2;7;P-;M36;;7;47.5;47.5;22.1;19.8;26.1;50;84;83;0;0;0;0;3.48;;2.17;;2.54;;4.27;;5.2;;;3.532;0;WJ
51;1;1;P-;M36;;1;33.8;33.8;22.4;14.9;14.1;33;38;64;1;0;0;0;2.53;;4.57;;6.51;;4.22;;3.44;;;4.254;0;SA
55;3;9;P-;M36;;9;49.8;49.8;31.5;23.5;29.5;42;68;80;0;0;0;0;3.9;;5.85;;3.04;;4.6;;4.65;;;4.408;0;WJ
56;1;2;P-;M36;;2;38.5;38.5;23;20.4;21.5;35;52;62;0;0;0;0;3.26;;3.49;;4.45;;6.27;;4.64;;;4.422;0;LS
71;1;4;P-;M36;;4;32.4;32.4;20.9;15.7;16;48;53;54;1;0;0;0;5.47;;3.8;;4.45;;5.7;;6.6;;;5.204;0;SA
76;3;10;P-;M36;;10;38;38;24.4;23.5;21.5;42;49;50;0;0;0;0;5.39;;5.14;;4.72;;6.71;;6.05;;;5.602;0;WJ
80;1;3;P-;M36;;3;30.1;30.1;17.2;16.4;20.6;49;40;69;0;0;0;0;7.74;;4.13;;6.45;;5.04;;7.62;;;6.196;0;LS
88;3;11;P-;M36;;11;35.2;35.2;24.7;24.4;20.4;29;52;55;0;0;0;0;5.07;;4.46;;13.09;;7.9;;9.47;;;7.998;0;LS
108;2;5;P-;M36;;5;36.1;36.1;21.5;17.2;13.4;54;56;47;0;7;0;5;36.33;1;20.97;1;17.53;1;11.75;1;22.79;1;1;21.874;0;LS
5;2;7;P-;M38;;7;32.7;32.7;11.5;13;10.3;50;54;54;0;0;0;0;1.11;;1.53;;1.85;;1.63;;1.59;;;1.542;0;LS
7;3;10;P-;M38;;10;25.5;25.5;8.2;4.8;8.7;23;33;39;0;0;0;0;1.56;;1.12;;2.4;;1.92;;1.92;;;1.784;0;WJ
28;2;8;P-;M38;;8;42.5;42.5;12.6;13.5;;51;60;61;0;0;0;0;2.61;;3.33;;2.69;;2.34;;4.24;;;3.042;0;LS
43;1;1;P-;M38;;1;32.5;32.5;18.5;14.2;17.9;43;55;58;0;0;0;0;3.3;;3.44;;2.64;;3.37;;6.32;;;3.814;0;LS
61;2;5;P-;M38;;5;39;39;19.8;17.3;19.8;40;48;70;0;0;0;0;3.05;;3.16;;8.2;;5.37;;3.85;;;4.726;0;WJ
82;1;2;P-;M38;;2;28.4;28.4;11;13.9;10.2;34;40;43;0;0;0;0;3.51;;4.95;;4.24;;6.85;;13.57;;;6.624;0;LS
102;3;9;P-;M38;;9;38.2;39.9;20;10.9;15.9;62;63;63;0;3;0;3;11.39;;22.01;;16.21;;22.53;;11.95;;;16.818;0;LS
127;3;11;P-;M38;;11;38.1;40.1;19;22.4;19.4;59;64;62;0;16;3;10;43.32;2;45.91;2;32.26;2;30.7;2;46.35;2;2;39.708;0;LS
116;1;3;P-;M38;;3;32;34;16.5;12;22.2;37.4;49;49;0;10;2;4;40.4;1;40;2;32.3;2;9.4;1;11.6;2;1.6;26.74;0;SA
139;2;6;P-;M38;;6;28.8;31.7;16;14.5;12.6;51;50;51;1;15;6;8;58.27;2;51.58;2;45.02;2;39.22;1;34.24;1;1.6;45.666;0;SA
122;1;4;P-;M38;;4;31.5;31.5;18;15;17.4;49;52;42;0;17;0;8;36.38;1;32.42;1;36.99;2;44.06;2;25.99;1;1.4;35.168;0;LS
21;3;10;P+;M31;;10;27.2;27.2;20.4;18.2;17.5;34;48;48;0;0;0;0;2.26;;5.08;;2.55;;1.75;;1.25;;;2.578;0;WJ
66;2;5;P+;M31;;5;27;27;21.2;18.8;18.8;29;44;52;0;0;0;0;2.43;;3.12;;3.83;;3.83;;11.06;;;4.854;0;WJ
220;1;2;P+;M31;;2;25.2;25.2;;;;;;;0;6;;;;;;;;;;;;;;;0;LS
170;1;4;P+;M31;;4;15.5;20.2;10.3;8.5;9.4;32;22;26;1;39;6;2;55.81;3;62.61;2;60.31;3;64.45;2;57.71;2;2.4;60.178;1;SA
163;3;11;P+;M31;;11;20.2;25.6;12.7;8.3;11.4;30;33;26;1;52;8;5;60.05;1;66.7;2;80.79;3;37.95;2;39.19;3;2.2;56.936;0;LS
166;2;8;P+;M31;;8;19.8;25.4;8.9;9;9.4;35;35;34;1;55;8;0;60.43;2;46.11;2;52.84;2;64.35;2;72.34;3;2.2;59.214;1;LS
167;2;6;P+;M31;;6;20.5;25.7;12.3;12;10.4;38;33;36;1;57;6;0;68.64;2;67.71;3;66.61;2;50.71;2;43.06;2;2.2;59.346;0;LS
168;2;7;P+;M31;;7;14.9;21.2;3;6.8;7.8;35;22;19;1;31;6;2;66.11;2;81.3;2;43.69;2;54.91;2;51.1;3;2.2;59.422;0;LS
87;3;9;P+;M31;;9;33.1;33.1;30.5;24.3;27.1;45;60;56;0;1;0;0;1.62;;1.62;;1.88;;30.3;2;3.93;;2;7.87;0;WJ
84;1;3;P+;M31;;3;34;34;30.8;22.1;22.5;40;46;41;0;0;0;0;4.3;1;5.5;1;6.5;1;3.9;1;15.1;1;1;7.06;0;WJ
93;1;1;P+;M31;;1;32.5;32.5;26.6;22;20.6;34;51;50;0;2;0;1;23.43;1;9.37;1;5.18;1;2.55;1;1.49;1;1;8.404;0;LS
92;2;7;P+;PH1;7;7;34.8;35.6;12.1;10.8;11.6;44.3;53;61;0;5;1;1;3;;4.5;;7.6;;22.7;;4;;;8.36;0;ST
219;2;7;P+;PH1;21;7;26;34.6;8.5;13.5;10.5;43;48;40;1;46;6;7;119.04;6;105.26;5;109.81;3;88.82;2;104.77;2;3.6;105.54;0;SA
210;1;4;P+;PH1;18;4;19.5;27.4;10.1;10.3;10.1;29;37;35;1;37;4;14;95.3;2;83.35;3;62.59;2;105.64;3;75.84;2;2.4;84.544;1;SA
216;3;11;P+;PH1;5;11;22.5;30.6;8.9;11;9.3;30;27;27;1;38;9;5;83.18;2;94.65;3;97.5;2;110.25;3;82.3;2;2.4;93.576;0;LS
112;2;6;P+;PH1;14;6;30.8;30.8;13.6;16.4;14.2;37;53;60;0;1;0;0;24.16;2;;;;;;;;;2;24.16;0;WJ
186;3;9;P+;PH1;23;9;17.3;23.9;9.9;9.9;7.7;29;27;25;1;50;9;33;44.53;1;52.16;1;110.83;2;89.85;4;48.91;1;1.8;69.256;0;LS
196;3;10;P+;PH1;12;10;34.5;37.5;11.7;12;13.3;42;47;60;0;24;8;1;48.66;1;72.68;2;81.99;2;76.83;2;84.99;2;1.8;73.03;0;LS
146;1;3;P+;PH1;5;3;19.3;;7.4;10.2;8;25;27;25;1;21;9;12;47.54;2;54.04;1;55.29;2;45.66;2;48.41;1;1.6;50.188;0;LS
117;2;7;P+;PH1;;7;25.3;32.8;12.6;13.1;13.4;16;27;36;1;32;6;15;36.2;2;37.1;1;12.5;1;53;2;2.4;1;1.4;28.24;0;ST
106;2;5;P+;PH1;6;5;17;17;9.8;11.5;9.6;30;33;19;1;4;0;4;24.45;1;17.12;1;13.67;1;28.64;;;;1;20.97;0;WJ
133;2;8;P+;PH1;10;8;29;31.3;8.3;10;10.5;46;48;51;1;10;1;0;70.51;1;37.47;1;31.75;1;36.29;1;39.45;1;1;43.094;0;LS
138;1;2;P+;PH1;12;2;19;19;10;7.8;9.8;27;26;27;1;19;5;17;35.52;1;39.82;1;67.1;1;43.16;1;39.09;1;1;44.938;0;LS
18;3;10;P+;PH1_2014;;10;17.1;17.1;15.5;12.2;9;24;27;30;1;0;0;0;2.06;;2.76;;2.76;;2.03;;2.74;;;2.47;0;WJ
214;2;6;P+;PH1_2014;;4;23.3;31;12.8;11.6;10.5;36;35;39;1;52;6;25;93.43;5;115.67;6;109.42;5;79.94;2;51.07;2;4;89.906;0;SA
207;1;4;P+;PH1_2014;;4;23.4;;31;11.2;9;39;44;39;1;53;8;8;109.45;4;64.92;3;100.59;5;73.53;3;64.58;2;3.4;82.614;0;LS
197;2;8;P+;PH1_2014;;8;21;28.6;12.5;10;9;28;41;31;1;47;9;18;93.52;4;88.47;4;80.73;3;36.26;1;67.8;3;3;73.356;0;LS
199;1;2;P+;PH1_2014;;2;24.6;31.9;14.3;13.5;13.5;30;36;35;1;67;11;17;66.04;3;60.13;2;50.4;2;90.3;4;102.82;4;3;73.938;0;LS
193;2;5;P+;PH1_2014;;5;21;30.5;12.8;12.2;11;29;33;34;1;50;20;4;94.48;4;20.96;1;109.22;4;85.45;3;48.23;2;2.8;71.668;0;WJ
200;3;11;P+;PH1_2014;;11;18.6;26.6;13.5;9.8;9.7;29;37;23;1;47;114;2;58.46;1;77.76;2;55.87;2;81.73;3;103.68;3;2.2;75.5;0;LS
155;1;1;P+;PH1_2014;;1;22;28;14;14.3;13.2;31;35;32;1;56;12;29;31.67;1;68.23;2;64;2;28;1;78.64;3;1.8;54.108;0;WJ
172;1;3;P+;PH1_2014;;3;27.5;33.2;14.3;11.2;12.2;34;44;54;0;19;4;9;46.77;1;49.01;1;44.54;2;87.26;3;81.83;2;1.8;61.882;0;SA
149;3;9;P+;PH1_2015;;9;39.7;41.3;19.1;18.6;18.4;55;65;54;0;89;8;26;50.34;2;58.07;2;51.95;2;51.68;2;48.76;1;1.8;52.16;0;LS
131;2;6;P+;PH1_2015;;6;29.3;31.3;16.8;12.6;11.5;52;63;38;0;16;5;5;46.69;2;36.7;2;49.57;2;37.32;1;44.62;1;1.6;42.98;0;WJ
124;1;4;P+;PH1_2015;;4;31.2;33;16;11.9;13.7;60;51;50;0;7;3;3;39.8;1;30.91;1;32.84;2;47.79;1;31.45;2;1.4;36.558;0;SA
130;3;11;P+;PH1_2015;;11;45.1;47;18.4;14.2;23.4;48;58;57;0;13;3;8;41.14;1;41.66;1;40.35;2;35.81;1;53.36;2;1.4;42.464;0;LS
132;1;1;P+;PH1_2015;;1;30;32;17.4;9.8;14.6;48;52;46;0;46;5;30;37.29;1;46.18;1;65.31;2;39.64;2;26.59;1;1.4;43.002;0;LS
152;3;10;P+;PH1_2015;;10;29.1;33.1;13.7;12.2;11.5;49;69;53;0;26;6;5;38.33;1;57.33;1;69.49;1;54.5;1;45.91;2;1.2;53.112;0;WJ
104;2;8;P+;PH1_2015;;8;26.3;26.3;12;10.1;9;33;37;37;0;8;0;0;17.18;1;24.43;1;8.75;1;25.69;1;16;1;1;18.41;0;LS
113;1;3;P+;PH1_2015;;3;26.2;28;14.5;15.8;18.4;33;36;35;0;10;2;5;21.95;1;25.05;1;35.89;1;20.3;1;23.71;1;1;25.38;0;WJ
115;1;2;P+;PH1_2015;;2;36.6;36.6;14.7;11.9;17.2;44;59;57;0;12;0;5;26.28;1;36.67;1;20.7;1;19.37;1;28.7;1;1;26.344;0;LS
119;2;5;P+;PH1_2015;;5;39.4;;21.2;21;22.3;50;65;69;0;45;3;32;23.93;1;31.81;1;35.01;1;39.26;1;38.58;1;1;33.718;0;WJ
195;3;10;P+;PH2;26;10;15.6;21.5;9.2;10.5;9.4;25;22;31;0;32;8;16;74.43;3;94.78;3;78.21;2;78.22;2;38.55;1;2.2;72.838;1;WJ
153;1;2;P+;PH2;16;2;14.6;21.1;8.8;8.7;7.7;55;34;12;1;61;7;20;43;2;82.7;2;43.6;1;38.3;2;61;3;2;53.72;0;WJ
169;1;1;P+;PH2;41;1;16.8;21.9;10.7;9.5;6.4;22;26;22;1;54;4;43;62.53;2;50.21;2;59.86;2;60.83;2;65.5;2;2;59.786;0;SA
178;1;3;P+;PH2;26;3;15.8;21.4;12.5;10.7;8.9;24;32;20;1;25;4;19;76.55;2;74.67;2;65.53;2;55.44;2;56.42;2;2;65.722;0;SA
176;3;9;P+;PH2;41;9;17.9;24.2;11.3;11.7;16;27;29;25;1;48;7;25;54.88;1;73.87;2;84.43;2;64;2;46.92;2;1.8;64.82;0;LS
154;3;11;P+;PH2;31;11;18.5;23.7;10.2;11.1;12.6;29;31;20;1;34;10;29;52.22;2;61.56;2;67.82;2;42.12;1;45.34;1;1.6;53.812;0;LS
156;2;6;P+;PH2;19;6;14.9;19;9.1;9.5;8.9;23;15;20;1;50;9;20;68.49;2;53.58;1;62.4;2;57.96;2;31.69;1;1.6;54.824;0;LS
182;2;8;P+;PH2;33;8;14;21.5;9;8.2;8.4;21;25;18;1;38;11;13;84.94;3;68.2;1;82.63;2;49.71;1;51.17;1;1.6;67.33;0;LS
134;1;4;P+;PH2;31;4;14.5;14.5;7.8;7.5;6.3;15;27;21;1;10;5;3;35.73;1;66.61;2;54.84;1;35.61;1;23.73;1;1.2;43.304;0;LS
126;2;5;P+;PH2;40;5;17.3;21.2;11.1;9.8;7.6;20;31;26;1;18;5;13;64.6;1;46.74;1;43.03;1;21.84;1;20.21;1;1;39.284;0;LS
137;2;7;P+;PH2;18;7;15.8;20.4;8.1;10;9.5;20;22;22;1;19;7;10;36.94;1;37.13;1;37.94;1;49.64;1;62.34;1;1;44.798;0;LS
44;1;4;P+;PH2;;4;24.9;24.9;13.9;16.4;14.7;13.2;23;24;0;0;0;0;1.42;0;1.78;0;7.24;0;4.44;0;4.28;0;0;3.832;0;SE
91;2;7;P+;PH2_2015;;7;22.5;17;15;15.5;24;26;33;33;0;0;0;0;9.45;;9.62;;9.43;;7.51;;5.78;;;8.358;0;SA
